area,tool,url,repo_url,language,cas_hosted,description
Reserving,chainladder-python,https://github.com/casact/chainladder-python,,Python,yes,Full reserving stack with a scikit-learn-style API.
Reserving,FASLR,https://github.com/casact/FASLR,,Python,yes,Desktop GUI on top of chainladder-python.
Reserving,tryangle,https://github.com/casact/tryangle,,Python,yes,Automatic chain ladder via hyperparameter search.
Reserving,ChainLadder,https://cran.r-project.org/package=ChainLadder,,R,no,Deterministic and stochastic reserving; Solvency II CDR.
Reserving,clmplus,https://cran.r-project.org/package=clmplus,,R,no,Chain ladder in a reverse-time hazard framework.
Reserving,rp-bnn-claims,https://github.com/casact/rp-bnn-claims,,TeX,yes,Individual claims forecasting with Bayesian mixture density networks.
Reserving,bayesIBNRcyber,https://github.com/casact/bayesIBNRcyber,,Other,yes,Bayesian IBNR model for cyber incidents.
Reserving,reserves_wg_longitudinal_reserving,https://github.com/casact/reserves_wg_longitudinal_reserving,,R,yes,A longitudinal approach to non-life loss reserving.
Simulation and synthetic claims,SynthETIC,https://cran.r-project.org/package=SynthETIC,,R,no,Individual claims simulator with configurable frequency and severity.
Simulation and synthetic claims,SPLICE,https://cran.r-project.org/package=SPLICE,,R,no,Simulates case-estimate evolution over a claim's life.
Simulation and synthetic claims,cascsim,https://github.com/casact/cascsim,,R,yes,"Individual claim simulator: open, reopened, IBNR, and future claims."
Simulation and synthetic claims,imaginator,https://github.com/casact/imaginator,,R,yes,"Simulates policies, losses, and loss emergence."
Simulation and synthetic claims,actsim,https://github.com/casact/actsim,,Python,yes,Frequency-severity engine that exports to chainladder triangles.
Simulation and synthetic claims,SEAT,https://github.com/casact/SEAT,,Other,yes,Simulation engine for adaptive telematics data (Variance 2025).
Loss distributions and severity,actuar,https://cran.r-project.org/package=actuar,,R,no,"23 heavy-tailed distributions, grouped data, coverage modifications."
Loss distributions and severity,fitdistrplus,https://cran.r-project.org/package=fitdistrplus,,R,no,"Fits distributions by MLE, moment, or quantile matching."
Loss distributions and severity,Distributions task view,https://cran.r-project.org/view=Distributions,,R,no,CRAN's full distribution index with actuar suffixes.
Tail and extreme value,ReIns,https://cran.r-project.org/package=ReIns,,R,no,"EVT estimators, splicing, VaR, CTE, excess-loss premiums."
Tail and extreme value,Pareto,https://cran.r-project.org/package=Pareto,,R,no,"Pareto, piecewise, and generalized Pareto for tail selection."
Tail and extreme value,mbbefd,https://cran.r-project.org/package=mbbefd,,R,no,MBBEFD and exposure-curve distributions for reinsurance.
Aggregate loss modeling,aggregate,https://pypi.org/project/aggregate/,,Python,no,Compound distributions by FFT with a policy-structure grammar.
Aggregate loss modeling,actuar,https://cran.r-project.org/package=actuar,,R,no,Panjer recursion and the collective risk model.
Aggregate loss modeling,GEMAct,https://pypi.org/project/gemact/,,Python,no,"Pricing, stochastic reserving, and risk aggregation."
Frequency-severity pricing,insurancerating,https://cran.r-project.org/package=insurancerating,,R,no,GLM workflow from raw data to tariff classes.
Frequency-severity pricing,tweedie,https://cran.r-project.org/package=tweedie,,R,no,Models aggregate claim cost directly with a Tweedie GLM.
Frequency-severity pricing,painless_glms,https://github.com/casact/painless_glms,,R,yes,Readable GLM pricing workflow in R (CLRS 2024).
Frequency-severity pricing,GAM_Examples,https://github.com/casact/GAM_Examples,,R,yes,Worked GAM examples for relaxing linearity.
Credibility and experience rating,actuar,https://cran.r-project.org/package=actuar,,R,no,"Buhlmann, Buhlmann-Straub, Hachemeister, and linear Bayes."
Credibility and experience rating,actuaRE,https://cran.r-project.org/package=actuaRE,,R,no,Hierarchical credibility as random-effects models.
